"City, Country",min,max,median,variance
"Adelaide, AU",21.72687747035573,86.1699604743083,37.92450592885376,18859.896877470357
"Brisbane, AU",1.3955752212389378,46.48554572271387,3.6377581120943954,7710.693215339233
"Canberra, AU",12.955944055944057,52.88951048951049,17.333566433566435,14387.34839160839
"Darwin, AU",187.78469601677148,366.414465408805,352.4989517819707,132699.05226415093
"Hobart, AU",21.012637362637363,78.84835164835165,34.684065934065934,21854.587307692305
"Launceston, AU",42.01214057507987,81.44345047923322,48.485942492012775,9287.794408945689
"Melbourne, AU",19.53344947735192,84.7658536585366,35.96620209059233,16218.391846689892
"Newcastle, AU",26.302173913043475,54.856159420289856,29.642028985507245,8014.6563405797115
"Perth, AU",14.969680851063828,80.68244680851065,32.079787234042556,16871.81579787234
"Sydney, AU",18.457602339181285,86.53888888888889,35.45584795321638,15194.885087719298
"Wollongong, AU",13.441496598639457,71.74931972789116,23.625510204081632,15847.7287414966
"Bogotá, CO",-1.3370709382151027,9.688329519450802,0.4604118993135011,1125.7290160183063
"Quito, EC",0.12434210526315788,7.484210526315789,0.47236842105263155,63.61309210526315
"Addis Ababa, ET",14.457142857142857,14.714285714285714,14.457142857142857,1.542857142857143
"Accra, GH",17.2,66.85000000000001,17.516666666666666,18532.87833333333
"Budapest, HU",34.657692307692315,53.84615384615385,41.04871794871795,5043.203974358974
"Debrecen, HU",45.32386363636363,63.45454545454545,49.85113636363636,4707.740340909091
"Győr, HU",44.36,63.168888888888894,48.79111111111112,5086.533444444444
"Kecskemét, HU",50.49230769230768,84.16307692307693,61.17384615384615,11857.92769230769
"Miskolc, HU",58.3296551724138,81.66965517241378,67.27448275862068,5401.073724137931
"Pécs, HU",37.74512195121952,53.59756097560975,42.60853658536586,3921.0046341463417
"Szeged, HU",33.364814814814814,73.78333333333332,44.3574074074074,14976.377037037037
"Akita, JP",39.365974025974026,82.07870129870129,52.54051948051948,11105.933506493508
"Chiba, JP",36.40555555555556,83.68730158730159,55.478968253968254,6113.516468253968
"Fukuoka, JP",46.796907216494844,92.84123711340207,68.08762886597938,8369.32824742268
"Gifu-shi, JP",52.369491525423726,81.21118644067798,60.60677966101695,6389.223661016949
"Hiroshima, JP",57.779259259259256,89.78444444444445,68.91703703703703,6487.823037037037
"Kagoshima, JP",48.33768115942029,81.51565217391305,58.542028985507244,8065.596927536231
"Kanazawa, JP",33.053582554517135,71.09283489096575,42.70498442367601,8724.406510903425
"Kobe, JP",59.02969924812031,87.3124060150376,66.94962406015037,5720.9821804511275
"Kochi, JP",46.732142857142854,82.95476190476191,54.75873015873016,9387.582063492062
"Kumamoto, JP",44.14,91.55033333333333,64.48833333333333,7328.774
"Kyoto, JP",54.527300613496934,92.85490797546012,73.24877300613497,6515.316717791411
"Matsuyama, JP",55.731199999999994,88.5588,65.262,7063.676119999999
"Miyazaki, JP",47.545117845117844,85.27777777777777,62.8986531986532,7153.860505050506
"Nagano, JP",53.59512987012987,80.59155844155845,60.674025974025966,6745.3383766233765
"Nagasaki, JP",51.05201342281879,91.04261744966442,63.72147651006711,7975.302516778524
"Nagoya, JP",49.90196721311475,87.58590163934427,63.738360655737694,7209.164852459017
"Naha, JP",50.62983870967743,79.72177419354838,58.19086021505376,7048.899838709678
"Nara-shi, JP",55.48456140350877,84.64350877192983,62.16631578947368,6410.917052631578
"Niigata, JP",36.13189655172414,72.93620689655174,47.85804597701149,8324.742356321838
"Okayama, JP",60.67740863787376,93.90764119601329,74.9,5842.050431893688
"Osaka, JP",54.89254658385094,93.6975155279503,72.86583850931677,6008.960279503105
"Saitama, JP",58.08068669527898,78.97424892703863,67.03347639484979,4615.71957081545
"Sapporo, JP",48.37420212765958,88.99760638297872,63.192021276595746,8551.117260638297
"Sendai, JP",63.14462809917355,89.43801652892562,74.14104683195592,5226.625977961433
"Shizuoka, JP",44.533079847908745,76.01406844106464,54.11330798479087,6652.147984790874
"Takamatsu, JP",58.16896551724138,92.02793103448275,72.88758620689656,6514.985000000001
"Tokyo, JP",44.616176470588236,88.78014705882353,60.85036764705882,8961.104044117646
"Toyama, JP",32.96584022038567,81.45068870523416,51.70633608815427,10194.039669421489
"Utsunomiya, JP",54.17758620689655,89.73724137931036,67.61758620689656,7562.027655172414
"Wakayama, JP",59.78576512455517,85.47010676156583,66.86014234875444,5736.090177935943
"Yokohama, JP",48.178688524590164,76.2454918032787,54.824999999999996,6524.177622950819
"Ōita, JP",55.03017751479289,85.59615384615384,64.81568047337278,6415.883402366863
"Skopje, MK",44.458461538461535,64.33384615384615,47.54615384615385,5037.542769230769
"Klang, MY",25.975,75.35000000000001,50.6,19549.225
"Kuantan, MY",12.639999999999997,49.38400000000001,17.003999999999998,12126.285600000001
"Miri, MY",20.96,79.72,40.60000000000001,15536.24
"Bratislava, SK",44.266666666666666,82.80000000000001,55.21666666666667,14029.169444444444
"Košice, SK",43.78674698795181,77.98734939759036,52.815662650602405,11453.013012048194
"Chicago, US",0.0,0.07090909090909092,0.0036363636363636364,0.05145454545454545
"Dallas, US",0.0013157894736842105,0.2526315789473685,0.01578947368421053,0.3631578947368421
"Fort Worth, US",0.0014492753623188406,0.21739130434782605,0.021739130434782608,0.3978260869565218
"Houston, US",0.0047619047619047615,0.3952380952380953,0.021428571428571432,3.722777777777778
"Madison, US",0.006000000000000001,0.09,0.014000000000000002,0.0416
"San Antonio, US",0.12121212121212122,0.37272727272727274,0.2893939393939394,1.2574242424242423
